time,cpuLoad
3.669,32.9170588235
3.82,43.7476470588
3.733,37.0517647059
3.603,17.8617647059
3.941,31.8076470588
3.746,17.8858823529
3.569,14.8041176471
3.61,26.71
4.044,28.3188235294
3.749,18.1894117647
3.55,21.7847058824
3.862,30.0923529412
3.861,14.8705882353
4.72,43.8216666667
5.449,57.0141176471
4.349,25.4761111111
4.704,26.4682352941
4.135,32.7005882353
4.172,32.7388235294
5.321,45.7344444444
4.015,31.6458823529
4.452,37.8605555556
5.041,52.5705882353
3.535,22.4829411765
3.467,30.9517647059
3.689,13.2588235294
3.467,26.7717647059
3.406,22.15
3.452,12.5070588235
3.482,23.1794117647
3.691,35.3305882353
3.477,13.7035294118
3.424,12.2616666667
3.436,12.0517647059
3.571,28.4076470588
3.461,20.7435294118
4.16,16.8888235294
3.654,33.3766666667
3.483,15.9317647059
3.479,11.6176470588
3.666,31.0194117647
3.501,11.7941176471
3.458,11.0888235294
3.477,20.3335294118
3.9,34.0458823529
3.628,38.3483333333
4.109,31.2941176471
3.632,21.4311764706
3.598,21.4841176471
3.608,20.9544444444
3.614,21.2511764706
3.661,19.6858823529
3.695,21.6805882353
3.594,19.3717647059
3.813,20.9505882353
3.585,20.7023529412
3.612,20.0388235294
3.62,20.2541176471
3.905,19.8435294118
3.857,29.9294117647
3.814,24.2717647059
3.61,19.5423529412
3.57,19.0229411765
3.605,32.1241176471
3.519,24.2211764706
3.581,26.6364705882
3.555,16.0223529412
3.613,22.0758823529
3.342,7.32823529412
3.873,29.9655555556
3.567,25.75
3.576,24.1335294118
3.556,16.7758823529
3.53,18.6641176471
3.434,13.02
3.515,19.5641176471
3.762,19.2323529412
4.034,36.5461111111
3.604,21.0435294118
3.746,36.8382352941
3.585,12.4629411765
3.505,23.6511764706
3.775,31.0029411765
3.853,33.2366666667
3.608,20.27
3.948,39.0188235294
3.837,23.2877777778
3.682,25.09
3.505,23.7641176471
3.65,30.1938888889
3.911,43.9317647059
3.892,35.8282352941
3.652,29.9823529412
3.643,13.4911764706
3.522,15.3141176471
3.481,15.1361111111
3.84,27.8858823529
4.758,31.0270588235
5.164,28.8988235294
3.35,11.1694117647
3.503,12.9494117647
3.517,32.4870588235
3.543,23.3917647059
3.638,30.3076470588
3.464,48.4494444444
5.329,47.0088888889
4.162,45.6852941176
3.905,38.91
3.624,21.7616666667
3.58,22.1355555556
3.604,21.2905555556
3.709,22.2252941176
3.592,20.5852941176
3.61,19.9676470588
3.593,20.1382352941
3.593,22.32
4.157,27.0141176471
4.049,25.6252941176
3.608,19.1552941176
3.626,21.0994117647
3.609,21.8105882353
3.645,21.5217647059
4.122,31.7017647059
3.734,21.4272222222
4.552,25.2864705882
4.275,32.63
4.261,22.9288235294
5.286,19.9029411765
4.55,10.0694117647
3.37,12.0376470588
3.392,20.4641176471
3.41,13.1370588235
3.417,8.87705882353
3.546,9.33470588235
3.342,9.17294117647
3.389,8.85588235294
3.352,8.58058823529
3.34,14.1464705882
3.409,18.0841176471
3.592,34.7817647059
4.435,51.0758823529
3.413,19.1135294118
3.524,32.3705882353
3.771,30.5641176471
3.444,9.32941176471
3.399,9.98294117647
3.377,10.4582352941
3.394,9.93411764706
3.37,21.3476470588
4.229,65.7811764706
4.022,27.0488888889
3.576,33.1364705882
5.377,39.6972222222
3.776,36.3911764706
3.774,15.7905882353
3.544,24.89
3.549,19.7552941176
3.825,38.3529411765
3.581,20.7394117647
3.502,12.9311764706
6.642,58.7844444444
4.002,47.0835294118
3.63,22.5923529412
3.642,32.2788888889
3.676,29.6370588235
3.748,25.8476470588
3.646,18.5482352941
3.705,51.86
3.612,23.2047058824
3.681,21.9888235294
4.575,37.2423529412
3.821,32.5082352941
3.585,22.4194117647
4.335,62.4088888889
3.813,57.2517647059
3.746,58.4611111111
6.126,56.5294117647
5.363,42.8023529412
4.916,62.7477777778
5.373,51.5072222222
3.532,20.4833333333
3.585,20.4177777778
4.21,29.6433333333
4.637,55.9233333333
4.618,63.1555555556
5.803,53.8423529412
6.465,63.4082352941
5.609,45.2747058824
5.75,39.2388888889
4.861,54.5994117647
3.656,30.2558823529
3.588,44.1741176471
3.684,37.0452941176
4.88,36.9570588235
6.292,42.1111764706
6.034,65.4723529412
4.2,60.6461111111
4.247,80.6094444444
7.127,90.8221052632
