time,cpuLoad
3.094,20.95
3.599,36.8355555556
3.127,24.1176470588
3.244,19.5376470588
3.127,18.0235294118
3.219,15.1747058824
3.484,63.0644444444
3.299,21.9216666667
3.298,27.4283333333
3.318,23.0352941176
3.291,22.6717647059
3.269,23.8938888889
3.214,24.4555555556
3.196,26.4961111111
3.312,24.1377777778
3.318,23.3061111111
3.199,24.3035294118
3.293,23.0235294118
3.318,27.6611764706
3.305,22.4029411765
3.193,22.4176470588
3.307,23.7935294118
3.298,42.4831578947
4.367,70.8278947368
3.686,20.9433333333
3.737,48.2588888889
3.271,44.2555555556
3.144,26.7464705882
3.62,43.015
3.378,41.5183333333
3.361,18.84
3.117,15.7141176471
3.169,19.3723529412
3.216,14.7164705882
3.06,13.8482352941
3.097,14.7982352941
3.24,15.2611764706
3.247,13.99
3.251,15.5876470588
3.072,16.1282352941
3.084,14.4505882353
3.152,14.49
3.229,14.6383333333
3.192,17.3416666667
3.287,15.02
3.179,13.0464705882
3.151,15.9982352941
3.26,14.4517647059
3.19,13.64
3.124,12.4682352941
3.249,14.8052941176
3.075,15.3552941176
3.224,16.4341176471
3.276,13.43
3.139,14.1317647059
3.22,12.3705882353
3.221,13.4829411765
3.142,17.5772222222
3.226,14.4576470588
3.167,13.9776470588
3.115,13.3941176471
3.059,13.7258823529
3.243,15.5841176471
3.104,13.5323529412
3.132,13.0888235294
3.115,14.3323529412
3.133,13.9229411765
3.239,21.63
3.256,17.3452941176
3.156,13.9894117647
3.19,14.6841176471
3.137,24.7282352941
3.245,14.1370588235
3.24,14.3341176471
3.227,16.0241176471
3.141,11.6217647059
3.254,17.3847058824
3.177,12.5864705882
3.12,17.1923529412
3.127,14.2744444444
3.282,12.8852941176
3.26,13.5305882353
3.234,13.9505555556
3.142,13.62
3.103,14.105
3.232,13.2217647059
3.213,13.4194117647
3.25,16.9947058824
3.049,16.0929411765
3.092,14.0223529412
3.234,12.0835294118
3.245,15.5747058824
3.282,14.5435294118
3.056,13.0329411765
3.27,13.6876470588
3.171,14.23
3.08,13.14
3.184,13.9494117647
