time,cpuLoad
3.905,92.99
3.372,89.23
2.123,65.21
2.133,65.52
2.159,68.41
2.606,72.23
3.833,84.1
2.402,73.95
2.522,69.24
2.264,67.42
2.236,67.23
2.251,65.32
2.198,67
2.274,67.02
2.257,65.09
2.357,68.73
2.238,66.87
2.249,64.93
2.22,66.22
2.248,65.8
2.846,73.1
2.263,67.47
2.273,65.77
2.271,65.68
2.26,66.15
2.809,72.16
3.131,77.49
2.238,69.39
2.23,66.33
3.299,81.04
3.816,88.36
3.16,83.02
2.447,69.89
3.249,75.26
2.645,74.14
2.487,71.15
2.631,75.45
2.713,72.05
2.303,71.32
2.412,71.21
2.731,74.47
2.401,72.31
2.414,71.12
2.614,74.5
2.397,72.22
2.267,71.57
2.45,70.67
2.326,68.82
2.408,71.23
2.465,69.85
2.333,72.35
2.321,70.38
2.379,69.7
3.481,77.85
2.407,75.9
2.484,75.66
2.507,72.53
2.412,71.86
2.336,71.79
2.499,71.67
2.472,71.33
2.482,70.52
2.479,72.18
2.537,72.01
2.363,71.79
2.447,70.96
2.461,71.73
2.404,70.86
2.421,71.75
2.438,71.68
2.695,73.74
2.51,71.28
2.397,71.56
2.491,71.31
2.408,70.52
2.415,70.51
2.447,69.93
2.445,71.16
2.515,70.65
2.43,70.94
2.484,71.67
2.479,71.03
2.477,71.99
2.561,72.66
2.967,84.71
2.61,77.47
2.383,70.71
2.41,70.52
2.459,73.19
2.424,70.95
2.366,70.22
2.408,70.6
2.453,74.34
2.316,71.65
2.35,71.03
2.46,71.76
2.348,69.81
2.404,71.05
2.394,71.1
2.51,71.9
2.128,42.26
2.062,32.5
2.088,32.11
2.084,32.09
2.078,31.57
2.069,31.48
2.068,31.45
2.086,31.58
2.067,31.75
2.064,31.48
2.062,31.39
2.06,31.43
2.07,31.49
2.075,31.87
2.062,31.24
2.063,31.74
2.064,31.27
2.066,31.32
2.06,31.36
2.115,41.3
2.46,44.44
2.992,46.31
2.235,35.19
2.251,33.21
2.26,33.75
2.224,34.16
2.243,33.33
2.242,33.43
2.231,33.05
2.236,33.32
2.255,32.54
2.236,32.86
2.235,32.36
2.25,36.28
2.256,34.21
2.243,33.1
2.311,37.42
2.243,36.68
2.272,33.65
2.249,38.15
2.24,32.59
2.257,33.1
2.241,33.19
2.251,32.47
2.259,32.97
2.233,32.75
2.235,37.22
2.259,32.66
2.253,33.02
2.258,32.88
2.231,32.7
2.294,36.9
2.233,32.73
2.257,33.07
2.253,32.87
2.238,32.65
2.25,32.57
2.245,32.6
2.234,32.6
2.275,33.04
2.244,32.51
2.237,33.48
2.242,32.49
2.244,32.65
2.24,32.15
2.242,32.83
2.251,32.37
2.243,32.65
2.238,32.98
2.241,32.57
2.268,32.96
2.24,32.43
2.281,32.94
2.252,32.69
2.26,32.82
2.245,32.46
2.266,32.99
2.255,32.49
2.243,32.5
2.262,32.48
2.502,52.99
2.238,42.15
2.236,32.84
2.292,33.01
2.25,32.88
2.245,32.42
2.25,32.85
2.257,32.99
2.242,32.5
2.245,32.63
2.237,32.38
2.265,32.61
2.254,32.48
2.278,32.97
2.232,32.41
2.249,32.92
2.251,32.85
2.247,35.86
2.25,33.08
2.249,33.08
