time,cpuLoad
1.061,45.29
1.12,48.06
1.155,45.73
1.08,38.96
1.179,48.44
1.075,40.29
1.116,43.97
1.216,49.73
1.107,43.88
1.11,43.09
1.077,39.97
1.079,42.91
1.117,40.89
1.055,39.8
1.129,43.68
1.054,38.39
1.07,40.03
1.146,41.74
1.096,38.2
1.114,39.23
1.082,38.69
1.064,40.55
1.089,37.49
1.076,43.37
1.127,39.21
1.076,39.87
1.074,44.99
1.061,37.84
1.096,44.16
1.164,49.89
1.059,37.14
1.078,41.53
1.056,38.14
1.09,43.49
1.145,39.95
1.067,37.1
1.093,41.96
1.06,37.08
1.085,43.19
1.175,42.09
1.074,36.14
1.139,41.53
1.096,38.64
1.059,40.93
1.052,36.69
1.08,43.38
1.209,45.82
1.081,38.08
1.06,40.75
1.077,38.09
1.096,42.77
1.12,40.43
1.066,36.54
1.086,39.01
1.062,39.98
1.095,40.57
1.086,41
1.058,39.77
1.2,39.84
1.071,38.87
1.061,41.25
1.058,36.5
1.083,43.77
1.095,41.8
1.083,36.97
1.082,48.27
1.07,39.54
1.067,42.46
1.122,41.45
1.07,38.3
1.14,44.7
1.106,39.22
1.095,39.8
1.124,39.57
1.073,40.96
1.16,40.29
1.128,41.18
1.099,40.19
1.157,40.52
1.087,38.44
1.116,41.7
1.075,40.47
1.061,41.42
1.101,40.48
1.085,39.79
1.143,40.99
1.086,39.71
1.078,47.59
1.057,36.71
1.101,41.01
1.142,41.12
1.057,38.95
1.097,41.04
1.071,36.93
1.073,41.61
1.129,41.93
1.072,37.91
1.078,42.42
1.076,39.1
1.089,41.37
1.091,48.28
1.069,38.88
1.121,39.79
1.064,52.64
1.152,60.89
1.081,37.77
1.123,41.22
1.129,44.96
1.088,41.53
1.099,44.4
1.074,41.42
1.102,39.84
1.093,39.84
1.068,41
1.093,37.63
1.12,44.24
1.109,40.38
1.073,35.5
1.086,40.02
1.095,39.7
1.06,38.54
1.095,40.13
1.087,35.45
1.129,46.2
1.103,52.9
1.079,36.03
1.078,40.84
1.097,36.65
1.094,41.27
1.082,39.47
1.089,38.09
1.077,39.39
1.076,39.82
1.071,39.27
1.082,37.7
1.078,40.2
1.126,39.08
1.072,35.76
1.08,41.59
1.071,37.1
1.037,39.11
1.109,39.29
1.408,50.74
1.219,70.57
1.139,62.54
1.065,39.4
1.109,39.13
1.045,37.05
1.079,39.73
1.061,38.83
1.076,39.48
1.092,40.2
1.057,38.46
1.07,39.14
1.113,36.85
1.099,39.43
1.104,41.11
1.102,39.17
1.091,39.06
1.063,35.25
1.055,40.24
1.107,42.31
1.091,45.9
1.109,40.51
1.071,38.32
1.079,40.32
1.077,36.14
1.104,41.35
1.079,38.74
1.08,39.64
1.091,41.38
1.084,39.18
1.093,39.55
1.054,37.6
1.075,40.3
1.089,39.73
1.077,38.02
1.083,40.32
1.083,37.31
1.074,41.23
1.091,39.98
1.08,36.01
1.127,45.09
1.07,39.76
1.077,40.66
1.126,37.72
1.059,39.94
1.094,39.32
1.077,39
1.066,39.5
1.067,35.36
1.069,41.2
1.079,40.05
1.064,37.42
1.14,46.06
1.104,35.61
1.097,42.72
1.098,39.25
1.055,40.94
1.11,40.43
1.162,49.56
1.157,50.46
1.175,39.74
1.167,40.75
1.141,40.15
1.146,39.89
1.185,39.2
1.336,50.61
1.184,39.81
1.17,39.82
1.147,40.79
1.178,38.88
1.15,39.53
1.172,42.35
1.181,38.53
1.17,39.01
1.149,38.95
1.157,39.48
1.166,40.73
1.168,44.21
1.176,39.05
1.16,40.51
1.161,39.23
1.153,40.81
1.148,40.35
1.146,38.72
1.161,39.2
1.172,38.91
1.153,38.87
1.147,39.27
1.16,39.49
1.153,38.68
1.156,38.76
1.152,38.96
1.151,38.62
1.158,38.26
1.138,38.26
1.174,39.93
1.151,38.28
1.155,39.2
1.151,38.16
1.158,38.98
1.173,38.83
1.146,40.73
1.154,39.21
1.202,41.31
1.153,39.25
1.147,38.37
1.158,38.73
1.153,39.09
1.149,38.28
1.156,39.27
1.187,39.1
1.151,38.23
1.157,38.69
1.14,39.64
1.146,38.94
1.166,39.34
1.149,38.96
1.16,38.55
1.159,38.28
1.146,38.98
1.154,37.98
1.167,38.99
1.173,38.56
1.172,39
1.14,38.21
1.163,39.74
1.165,39.34
1.144,37.6
1.293,54.87
1.129,46.95
1.131,39.88
1.169,38.03
1.169,38.95
1.181,44.64
1.171,46.53
1.185,45.73
1.169,44.15
1.153,45.14
1.161,45.44
1.163,45.06
1.167,44.57
1.156,44.91
1.199,44.7
1.183,50.43
1.161,44.9
1.153,41.52
1.166,44.4
1.164,44.57
1.177,45.89
1.174,45.67
1.181,45.49
1.166,45.18
1.157,39.5
1.181,43.52
1.182,46
1.166,44.01
1.166,45.12
1.192,44.03
