time,cpuLoad
3.142,46.08
3.037,43.87
3.067,43.04
3.079,47.6
3.027,41.45
3.057,40.79
3.009,40.64
3.104,43.93
3.082,46.2
2.983,39.04
2.978,38.48
2.983,37.17
2.973,38.44
3.212,49.39
3.07,42.43
3.013,42.21
2.971,37.57
3.01,36.87
2.993,39.16
2.946,34.54
2.963,39.26
3.023,40.33
2.989,37.41
2.995,38.05
2.986,39.35
2.998,36.14
2.964,38.84
2.977,41.02
2.991,37.56
2.987,38.6
2.995,39.44
2.941,35.34
3.001,38.47
2.957,39.96
2.999,38.29
3.07,42.27
2.989,40.14
2.974,36.49
2.978,35.97
2.981,44.73
2.976,37.22
2.998,38.83
2.975,38.56
2.981,37.69
2.957,35.24
2.975,40.17
2.953,37.34
3,38.61
3.054,40.61
2.958,37.36
2.966,34.8
2.968,39.21
2.952,38.38
3.009,37.87
2.999,39.03
2.998,37.69
2.969,35.08
2.948,41.35
2.92,38.45
3.023,37.37
2.993,39.63
2.976,37.08
2.944,35.97
3.027,45.29
2.961,39.19
2.982,38.44
3.043,41.24
3.001,37.44
2.957,37.47
2.951,37.87
2.952,38.23
3.001,38.34
2.991,39.37
2.968,38.81
2.973,38.46
2.943,36.71
2.926,38
2.994,38.43
2.996,40.69
2.993,36.98
2.987,42.95
2.944,36.37
2.993,39.97
2.972,37.97
2.953,39.5
2.978,37.6
3.017,37.88
2.956,38.89
2.961,39.45
3.295,58.81
3.012,41.05
3.056,42.82
2.958,38.27
2.973,39.38
2.963,35.42
2.959,41.26
2.981,39.22
2.98,37.29
2.999,37.54
2.983,40.58
2.969,47.17
2.966,35.82
2.939,38.16
2.938,43.08
2.962,36.74
3.06,37.71
3,38.84
2.993,37.41
2.913,34.56
2.959,39.54
2.937,36.09
3.008,36.57
2.981,38.56
2.965,37.38
2.963,34.89
2.937,40.68
2.986,36.62
2.975,37.54
2.96,37.62
2.955,36.55
3.002,41.45
2.935,39.19
2.966,36.55
2.996,37.3
2.979,38.26
2.977,35.9
2.929,34.42
2.973,38.06
2.985,35.71
2.967,36.89
2.969,40.04
2.969,37.5
2.955,36.3
2.96,40.67
2.985,36.28
3.015,37.04
2.997,40.12
2.938,36.32
2.97,35.03
2.965,40.84
2.982,36.49
3.009,36.44
2.953,38.56
2.967,37.6
2.953,35.68
2.937,40.61
3.086,39.76
3.029,39.07
3.004,39.85
2.958,36.44
2.978,36.08
2.941,40.27
2.956,36.69
2.95,36.42
2.935,40.71
2.961,36.51
3.004,35.89
2.996,41.21
2.958,36.82
2.998,37.53
2.942,40.09
2.96,40.3
2.994,40.34
2.971,38.77
2.959,36.43
3.002,37.14
2.974,39.72
2.97,36.01
2.969,36.98
2.954,39.07
2.937,37.33
2.975,37.75
2.99,40.98
2.97,37.82
2.957,37.28
2.976,46.8
2.948,38.07
2.993,36.86
2.976,38.9
3.15,46.52
3.003,41.2
2.99,41.14
2.964,34.36
2.92,37.52
2.993,41.81
2.945,36
3.037,37.64
2.952,39.57
2.964,34.76
2.942,36.88
2.981,38.97
3.004,37.09
2.983,36.52
3,42.11
2.932,34.5
2.943,37.03
2.952,41.24
2.953,36.42
2.957,37.25
2.972,41.09
2.931,29.72
2.895,28.68
2.904,29.12
2.923,29.81
2.892,29.44
2.902,29.16
2.907,28.22
2.903,29.18
2.895,29.05
2.927,30.85
2.963,33.49
2.949,31.35
2.992,32.3
2.959,29.43
2.94,29.46
2.9,27.75
2.891,29.53
2.893,28.94
2.906,29.09
2.906,29.82
2.907,28.64
2.899,29.07
2.888,29.09
2.891,27.46
2.904,28.93
2.904,29.2
2.885,28.9
2.894,28.76
2.906,29.86
2.905,28.71
2.896,28.89
2.887,29.11
2.889,28.28
2.912,29.2
2.886,29.06
2.895,28.95
2.89,29.47
2.9,29.99
2.945,33.04
2.932,29.27
2.883,29.55
2.904,27.72
2.898,29.05
2.894,28.8
2.897,29.16
2.9,29.63
2.893,29.54
2.906,29.15
2.899,28.63
2.894,30.11
2.895,29.13
2.892,29.15
2.935,31.62
3.064,38.15
2.974,47.07
2.924,29.98
2.954,35.05
2.949,29.67
2.889,29.61
2.912,29.32
2.9,29.99
2.912,30.71
2.899,29.45
2.882,29.12
2.907,29.16
2.896,29.88
2.903,30.3
2.909,29.08
2.907,29.56
2.913,29.54
2.894,28.41
2.923,29.87
2.899,29.8
2.889,29.09
2.94,32.02
2.892,29.87
2.907,30.65
2.904,29.26
2.922,30.22
2.897,28.29
2.909,28.79
2.905,29.34
2.901,29.46
2.904,29.56
2.899,30.44
2.905,29.92
2.915,29.14
2.921,39.56
2.925,28.89
2.963,32.37
2.989,41.95
2.94,31.67
2.907,28.91
2.901,29.55
3.009,33.24
2.969,31.42
2.917,28.59
2.913,29.12
2.904,29.34
