time,cpuLoad
1.868,60.09
1.911,57.84
4.871,84.93
1.947,63.95
2.14,66.95
2.022,63.56
2.009,63.93
2.225,66.22
1.85,56.75
1.986,58.96
1.602,39.73
1.938,48.57
1.613,34.72
1.567,29.97
1.603,37.04
1.601,30.74
1.605,38.13
1.603,32.95
1.603,35.9
1.582,33.01
1.644,37.96
1.592,40.21
1.798,41.13
1.562,31.27
1.596,33.44
1.619,41.56
1.616,40.28
1.652,38.11
1.606,34.75
1.663,40.63
1.647,37.27
1.657,40.31
1.654,35.11
1.717,42.5
1.683,44.2
1.658,39.79
1.619,34.24
1.609,34.94
1.585,40.35
1.637,35.97
1.644,43.2
1.627,36.37
1.78,41.64
1.66,39.4
1.716,42.99
1.624,43.16
1.65,42.31
1.608,35.34
1.655,40.83
1.659,37.05
1.678,37.35
1.576,37.82
1.659,40.33
1.64,42.44
1.624,36.9
1.665,40.27
1.628,40.68
1.801,43.86
1.605,36.89
1.723,38.61
1.627,40.29
1.679,39.84
1.678,38.74
1.642,38.38
1.646,39.31
1.632,37.29
1.69,47.86
1.693,40.16
1.62,38.83
1.639,35.86
1.639,38.8
1.623,44.06
1.695,39.27
1.649,37.18
1.718,40.74
1.641,40.29
1.678,39.88
1.599,34.53
1.664,40.78
1.659,40.51
1.645,37.78
1.635,40.55
1.624,38.36
1.66,43.56
1.663,39.79
1.703,39.56
1.673,41.28
1.74,42.73
1.654,38.27
1.717,42.77
1.658,35.78
1.654,39.56
1.613,35.73
1.696,40.08
1.682,41.11
1.66,40.74
1.625,40.8
1.738,42.73
1.663,47.23
1.62,38.7
1.554,39.66
1.551,32.7
1.54,28.21
1.707,40.96
1.54,33.37
1.613,38.01
1.532,29.21
1.545,32.06
1.559,32.73
1.565,29.25
1.573,37.24
1.554,30.89
1.568,32.62
1.556,29.79
1.605,35.36
1.573,29.3
1.58,33.44
1.554,29.73
1.571,29.45
1.56,34.53
1.539,30.25
1.615,33.68
1.54,30.35
1.633,33.54
1.553,29.3
1.617,34.28
1.552,29.69
1.538,29.26
1.576,34.35
1.58,29.38
1.598,33.79
1.557,29.53
1.674,34.73
1.554,29.5
1.626,33.23
1.559,30.01
1.554,30.55
1.552,32.9
1.526,29.24
1.611,34.69
1.55,29.5
1.701,34.39
1.537,30.03
1.577,35.06
1.534,29.26
1.546,29.99
1.555,34.42
1.553,29.09
1.568,33.89
1.54,29.1
1.633,35.59
1.63,37.78
1.585,36.61
1.556,29.98
1.579,33.01
1.548,31.44
1.549,29.46
1.552,34.14
1.543,30.28
1.596,35.32
1.579,37.77
1.62,34.57
1.531,29.07
1.61,33.05
1.566,30.77
1.543,29.3
1.567,34.32
1.556,29.18
1.588,33.3
1.543,31.36
1.609,34.71
1.526,29.92
1.605,34.35
1.566,30.11
1.624,37.09
1.582,33.86
1.548,29.78
1.608,35.74
1.557,31.61
1.627,34.34
1.554,30
1.573,34.34
1.54,29.82
1.536,29.25
1.911,52.9
1.638,39.55
1.741,48.12
1.628,43.73
1.627,35.85
1.55,31.89
1.588,31.43
1.529,30.26
1.562,32.1
1.558,29.67
1.589,31.47
1.565,28.88
1.524,28.73
1.564,32.36
1.58,28.77
1.641,34.1
1.493,27.37
1.516,26.57
1.513,26.57
1.71,37.95
1.635,36.41
2.144,65.16
1.575,33.9
1.911,52.65
1.747,41.33
1.55,28.62
1.581,29.03
1.634,36.37
1.607,34.07
1.779,39.73
1.614,30.82
1.488,27.35
1.469,25.6
1.513,29.05
1.534,27.18
1.536,28.56
1.489,25.82
1.501,25.97
1.678,41.48
1.511,26.18
1.526,32.48
1.506,26.52
1.499,26.21
1.496,26.03
1.482,25.92
1.494,26.43
1.477,26.01
1.481,26.14
1.476,25.64
1.475,26.12
1.479,25.4
1.484,25.75
1.474,26.01
1.48,25.95
1.485,26.34
1.477,25.8
1.471,25.69
1.48,25.85
1.496,32.58
1.47,25.72
1.519,32.5
1.502,26.76
1.472,25.87
1.478,26.06
1.482,25.83
1.515,27.9
1.681,34.81
1.547,29.31
1.544,30.48
1.512,27.11
1.499,27.01
1.491,26.69
1.495,26.36
1.477,26.12
1.481,25.84
1.475,26.06
1.485,26.31
1.477,25.82
1.482,26.2
1.484,26.4
1.491,26.39
1.497,26.08
1.479,26.91
1.516,29.37
1.521,29.91
1.528,29.08
1.51,27.01
1.483,27.94
1.486,25.88
1.494,26.05
1.467,25.7
1.473,25.75
1.467,26.12
1.473,25.78
1.514,33.26
1.507,26.76
1.479,26.35
1.478,26.15
1.472,26.16
1.478,25.91
1.515,31.54
1.48,25.83
1.487,26.23
1.49,26.51
1.481,25.92
1.479,26.05
1.473,25.84
1.479,26
1.484,25.8
1.51,26.76
1.48,26.03
1.477,26
1.476,25.95
1.489,25.91
1.481,25.97
1.482,25.98
