time,cpuLoad
1.45913,59.77
1.29784,38.88
1.373625,43.88
1.3827049999999999,49.65
1.421835,48.04
1.39167,48.62
1.3733700000000002,43.43
1.384235,43.04
1.35545,45.26
1.3877350000000002,43.12
1.349535,37.58
1.3611600000000001,46.45
1.3575949999999999,41.69
1.3634750000000002,46.24
1.31716,41.32
1.38855,44.53
1.36684,42.58
1.3874150000000003,44.6
1.36104,39.49
1.4358400000000002,43.79
1.31303,41.5
1.338605,46.18
1.3641800000000002,40.75
1.349585,44.36
1.348815,47.29
1.47194,55.74
1.360035,38.2
1.307645,42.1
1.396575,43.77
1.34008,44.1
1.312395,39.03
1.326535,43.55
1.333145,38.53
1.344375,52.29
1.403575,43.79
1.3872550000000001,41.19
1.436185,45.5
1.413365,43.12
1.3926550000000002,42.37
1.358565,41.74
1.426115,43.85
1.472135,60.39
1.385615,45.25
1.58373,59.23
1.75248,60.18
1.940255,72.8
2.1485100000000004,69.02
1.9884600000000001,75.04
1.8538950000000003,63.42
1.94469,61.3
1.4852,56.05
1.4394200000000001,51.05
1.7255,56.75
1.66903,53.16
1.925645,66.29
2.394445,86.61
2.1020149999999997,88.72
2.65867,86.59
1.928765,67.13
1.46461,57.94
1.5835700000000001,60.97
1.601755,55.8
1.7954600000000003,69.94
1.7182650000000002,25.16
1.655165,73.35
1.6339700000000001,58.25
1.41446,46.94
1.7621349999999998,68.35
1.3131100000000002,50.67
1.7102999999999997,57.65
1.394245,44.59
1.420875,53.02
1.3872399999999998,70.03
1.790805,53.06
2.479385,76.92
1.3756549999999999,53.8
1.423295,52.14
1.4623400000000002,49.39
2.0754200000000003,54.62
1.3681050000000001,13.75
1.55718,46.77
1.481335,46.45
1.465475,44.27
1.574765,56.23
1.584295,50.88
1.5299,46.64
1.458255,56.31
1.654085,52.5
1.9005549999999998,64
1.7945849999999999,57.44
2.0414899999999996,77.21
2.0626550000000003,69.68
1.522825,55.84
1.403575,45.1
1.4068450000000001,46.47
1.435085,49.76
1.4259650000000001,48.53
1.4250099999999999,42.96
1.396725,52.52
1.9354399999999998,83.69
1.877825,79.66
3.5178000000000003,95.49
2.4775699999999996,91.14
2.44778,91.14
2.44483,89.59
2.081545,89.51
1.9842,81.62
2.1658150000000003,82.39
2.41088,84.89
1.90602,80.63
1.8682100000000004,79.81
1.996185,81.7
1.90051,78.41
1.9752600000000002,80.52
1.761565,75.09
1.8580450000000002,79.16
1.98246,80.33
1.809585,77.79
1.991935,80.91
1.92956,80.51
2.144625,83.93
2.04571,82.29
1.9568249999999998,84.35
2.0363450000000003,82.86
2.0804650000000002,81.75
2.080485,84.2
1.96825,83.97
2.2157349999999996,79.42
2.63842,95.05
2.457915,88.79
1.919625,81.03
2.8056300000000003,89.57
2.01637,81.6
1.919835,81.83
1.7757550000000002,81.33
1.9219900000000003,80.45
1.7553150000000002,80.37
2.0507150000000003,83.05
2.15135,86.99
2.657705,93.64
2.51792,93.1
1.8583800000000001,81.87
1.8280399999999999,79.91
1.892405,81.13
1.98042,81.11
2.0262200000000004,82.31
1.8183600000000002,77.91
2.06801,80.88
1.9904350000000002,81.33
1.9876600000000002,84.08
2.00719,81.08
1.80343,79.79
2.37446,86.51
1.7612099999999997,76.76
1.9912599999999998,80.47
1.799995,77.73
2.024915,84.35
1.9858650000000002,81.55
1.9357900000000001,79.53
2.1546899999999996,83.98
2.964895,89.67
2.0452649999999997,82.12
2.93705,87.94
3.2623249999999997,89.3
2.012395,83.29
2.1425949999999996,82.72
3.170225,88.91
2.8151850000000005,89.4
1.8742699999999999,85.17
1.8174700000000004,78.26
1.8193800000000002,78.49
1.76157,75.83
1.937345,78.9
1.7951000000000001,77.5
2.1145050000000003,83.91
1.7081699999999997,75.22
1.8394750000000004,79.1
1.9480400000000002,80.57
1.8084350000000005,74.89
1.9033950000000002,79.39
1.772375,77.28
1.954525,80.03
1.74277,74.98
1.9467599999999998,80.93
1.779135,75.55
1.773875,81.16
1.8387,77.88
1.91414,82.05
2.107585,81.61
2.0838400000000004,84.04
1.9996999999999998,84.47
1.87071,79.2
1.9037650000000002,82.08
1.9832349999999996,82.06
1.9164899999999998,80.66
2.083905,82.51
1.9407649999999999,80.91
1.8510300000000002,83.1
1.90122,80.36
1.3088300000000002,42.89
1.336355,35.35
1.3117800000000002,35.62
1.30889,35.77
1.3215899999999998,37.64
1.30674,35.91
1.3130899999999999,35.22
1.2889300000000001,41.93
1.30118,37.25
1.3181200000000002,36.69
1.314985,35.62
1.29948,41.2
1.311955,42.04
1.31947,42.02
1.3086999999999998,40.95
1.298925,40.54
1.296035,35.99
1.2997400000000003,39.31
1.3376949999999999,38.35
1.2961200000000002,39.16
1.285635,36.35
1.3135050000000001,36.53
1.310915,35.95
1.280475,39.32
1.27304,35.85
1.2826300000000002,37.23
1.321815,36.28
1.3141800000000001,40.47
1.2960099999999999,34.95
1.30321,36.35
1.314405,34.88
1.29125,39.48
1.2877049999999999,35.4
1.2872750000000002,36.55
1.31482,35.31
1.2707249999999999,42.38
1.3065049999999998,35.97
1.2954850000000002,36.89
1.3580750000000001,54.45
1.41876,56.46
1.340335,46.14
1.28476,41.33
1.2971199999999998,35.49
1.33173,43.29
