time,cpuLoad
18.248,31.22
18.3,28.14
18.339,28.47
18.285,27.48
19.126,28.22
18.307,32.77
18.305,27.92
18.284,27.47
18.27,27.51
18.164,27.37
18.523,27.45
18.162,27.49
18.301,27.54
18.497,28.48
18.322,28.41
18.294,27.33
18.17,27.47
18.218,28.68
18.138,27.61
18.117,27.25
18.215,27.98
18.188,27.58
18.789,27.7
18.21,27.46
18.192,28.38
18.271,28.1
18.203,27.63
18.148,27.87
18.269,28.51
18.21,28.34
18.197,27.61
18.39,28.89
18.163,28.08
18.361,29.3
19.16,37.44
18.453,27.94
18.271,27.29
18.578,27.56
18.862,28.59
18.471,28.93
18.501,28.72
18.175,27.71
18.377,27.57
18.256,27.66
18.22,28.58
18.179,27.53
18.293,28.71
18.251,28.11
18.213,27.42
18.211,27.97
18.678,34.46
18.309,27.85
18.276,27.29
18.113,27.46
18.315,28.19
18.364,28.19
18.231,27.33
18.212,27.38
18.249,27.43
18.225,27.4
18.257,27.35
18.841,27.23
18.454,28.57
18.261,28.2
18.265,28.48
18.335,27.4
18.342,28.61
18.284,27.82
18.382,27.33
18.286,27.41
18.299,27.36
18.382,29.39
18.236,27.43
18.248,27.59
18.404,28.44
18.242,27.53
18.36,27.49
18.504,29.88
18.294,27.63
18.508,28.75
18.281,27.6
18.824,35.18
18.357,28.49
18.278,27.62
18.144,28.54
18.401,28.27
18.314,28.05
18.333,27.93
18.191,27.4
18.281,27.56
18.25,27.58
18.306,27.47
18.306,27.55
18.233,27.77
18.154,28.28
18.372,29.59
18.237,28.09
18.317,27.25
18.183,27.31
18.225,28.25
20.11,37.11
19.699,33.57
19.892,34.84
19.061,31.3
21.07,38.76
21.372,40.5
19.277,30.69
19.225,29.72
19.531,32.41
19.369,29.48
19.769,29.19
19.353,32.61
20.81,39.44
20.031,37.93
20.456,38.73
19.297,29.39
19.989,33.72
19.894,35.61
19.786,33.53
19.277,29.17
19.696,32.89
19.78,34.44
19.664,33.63
19.639,32.05
19.839,34.25
20.225,37.8
19.778,34.93
19.856,30.91
20.506,38.6
20.097,37.21
19.871,35.35
20.253,39.41
19.914,36.09
28.777,79.73
24.364,70.47
18.86,56.06
21.315,62.98
18.752,55.42
18.44,54.46
18.841,55.74
19.356,57.87
18.419,54.05
18.889,55.98
24.652,70.85
23.328,68.06
20.352,60.82
18.863,55.74
21.052,62.93
22.452,66.01
22.094,66.04
19.428,57.63
19.531,57.51
19.683,58.49
19.646,58.17
19.646,58.67
21.087,63.01
20.875,61.34
21.779,64.88
19.29,56.97
19.737,58.66
19.56,58.29
30.338,81.75
23.512,70.1
22.259,65.13
21.644,63.43
20.978,62.43
19.574,58.28
18.633,54.82
18.981,56.71
19.602,58.42
25.006,72.41
29.116,77.98
24.319,70.82
25.054,71.61
23.881,70.08
23.315,68.7
21.112,62.16
19.019,55.64
18.946,55.39
23.014,67.58
23.372,68.55
23.184,68.52
23.434,69.33
23.516,69.17
23.408,69.13
23.557,68.65
23.647,69.8
23.2,68.51
24.959,73.23
23.543,68.57
23.357,68.64
23.313,68.71
22.999,67.98
24.947,71.89
23.687,70.74
24.875,71.54
25.189,72.25
23.37,69.23
23.484,69.03
23.132,68.2
20.881,32.81
20.681,31.88
20.828,31.89
20.54,31.57
20.705,31.78
20.683,31.77
20.47,31.14
20.802,31.92
20.622,31.84
20.596,31.63
20.764,31.84
20.374,30.97
20.809,31.72
20.545,31.06
20.52,30.96
20.466,31.84
20.679,31.81
20.7,31.76
20.374,30.88
20.811,32.04
20.343,30.9
21.09,35.67
21.07,31.91
20.733,31.75
20.882,33.53
20.49,31.65
20.392,31.04
20.376,30.97
20.726,31.82
24.741,43.46
23.586,35.82
23.71,34.46
23.508,36.32
23.606,34.28
22.888,33.39
23.789,34.32
23.324,33.61
23.081,33.56
23.534,33.86
23.108,33.65
22.939,33.5
23.736,34.05
23.092,33.69
22.299,32.75
22.687,32.48
22.637,32.93
22.683,32.7
23.486,34.45
22.893,33.3
22.57,33.01
23.365,35.49
22.613,32.87
23.383,33.63
22.689,32.63
22.854,32.83
23.045,33.15
25.737,42.04
22.947,33.97
22.973,33.63
23.536,34.92
22.929,33.74
23.007,33.56
23.325,33.77
23.152,34.76
22.921,33.46
23.057,33.62
23.096,33.5
22.994,35.3
23.413,33.92
23.699,37.41
22.826,32.94
23.035,33.39
23.067,35.01
23.184,34.29
23.491,34
23.484,36
23.498,34.14
22.877,33.34
23.072,33.64
22.94,34.51
23.078,33.41
23.202,33.72
23.187,33.41
23.469,33.8
23.072,33.55
23.754,33.64
22.997,33.21
23.348,33.39
22.601,32.84
22.639,32.71
23.399,33.26
22.867,32.85
22.664,32.67
23.115,33.27
23.409,33.36
22.647,33.79
22.761,32.78
22.727,32.87
22.763,32.77
22.757,32.7
