time,cpuLoad
2.6371849999999997,67.57
2.34396,50.27
2.3863000000000003,57.84
2.322320000000001,55.57
2.3477350000000006,48.01
2.307795,50.09
2.3047400000000007,47.92
2.3467350000000002,49.54
2.4288199999999995,47.51
2.265645,45.11
2.31183,51.05
2.43029,51.45
2.44029,49.79
2.369965,50.33
2.3576850000000005,46.44
2.370295,50.97
2.3459799999999995,53.51
2.4194750000000003,48.69
2.3523150000000004,47.19
2.375325,50.38
2.855925,59.66
2.351115,44.52
2.271555,42.76
2.264755,42.9
2.1806550000000002,45.11
2.307905,44.1
2.5374499999999998,57.24
2.675045,52.24
2.36622,46.38
2.28219,50.7
2.405015,53.14
2.4057750000000007,47.87
2.31208,46.78
2.2771350000000004,46.86
2.3538,50.36
2.3872850000000003,49.58
2.352875,48.13
2.3483850000000004,47.32
2.33037,47.77
2.369145,48.78
2.320745,49.2
2.2998100000000004,47.6
2.3825,50.29
2.4603,58.66
2.325745,50.15
2.364465,49.88
2.3574900000000008,47.65
2.295805,52.53
2.3184050000000003,48.49
2.951285000000001,56.93
2.3771000000000004,55.89
2.7581350000000002,55.12
2.849115,64.95
3.5592050000000004,72.52
2.9858700000000007,65.93
2.4239800000000007,60.38
2.3302350000000005,53.7
2.3868600000000004,55.62
2.367205,53.33
2.47319,55.18
2.4292800000000003,52.86
2.3245750000000003,51.73
2.455255,55.38
2.4995950000000002,55.04
2.467505,53.84
2.394845,54.49
2.4503150000000007,53.57
2.5034050000000003,57.68
2.319575000000001,55.26
2.340005,54.52
2.4580550000000003,55.48
2.5092350000000008,54.66
2.4054100000000003,56.5
2.42993,54.06
2.42709,53.94
2.3940700000000006,56.79
2.4161900000000007,53.57
2.349835,53.15
2.3290000000000006,54.31
2.2954550000000005,53.19
2.345755,53.89
2.4153350000000002,51.79
2.3610450000000003,54.52
2.41128,56.28
2.5389250000000003,57.5
2.44193,55.83
2.424465,52.92
2.4560150000000003,51.77
2.38138,52.21
2.390175,55.7
2.4004850000000006,52
2.3879900000000003,57.67
2.401215,51.95
2.3774750000000004,54.18
2.372335,56.61
2.5044750000000002,57.99
2.5638200000000007,55.56
2.4106500000000004,54.17
2.4452350000000003,53.1
2.3321900000000007,55.76
2.3525599999999995,48.76
2.4033150000000005,38.3
2.4575750000000003,38.91
2.426555,40.32
2.4076,38
2.3956100000000005,38.89
2.405065,38.69
2.4015200000000005,39.57
2.43053,38.32
2.4232450000000005,38.32
2.3952350000000004,38.88
2.428365,38.3
2.417755,38.19
2.52981,47.82
2.53859,50.17
2.33512,39.1
2.3912600000000004,39.62
2.3632250000000004,39.98
2.3636549999999996,39.47
2.3755900000000003,38.42
2.3752600000000004,38.25
2.393115,39.35
2.337195000000001,41.17
2.39806,41.47
2.33185,40.29
2.3642650000000005,39.81
2.39298,39.01
2.3599850000000004,39.5
2.3993200000000003,39.63
2.3553100000000002,39.37
2.3723800000000006,39.21
2.383735,40.29
2.390115,41.46
2.3878950000000003,42.16
2.3514850000000007,37.96
2.374535,39.2
2.444725,45.99
2.3779850000000002,43.39
2.455955,47.28
2.408160000000001,56.15
2.35587,47.17
2.3933850000000003,43.28
2.4182400000000004,43.53
2.38734,43.49
2.3968750000000005,43.47
2.391385,43.75
2.4054500000000005,43.69
2.36797,43.27
2.424905,43.68
2.4015600000000004,44.72
2.3819,43.33
2.3777450000000004,44.22
2.3715400000000004,43.74
2.4136900000000003,44.28
2.404975,43.5
2.3941850000000002,43.28
2.3773550000000006,43.19
2.37491,44.34
2.38505,43.67
2.3917200000000003,43.28
2.363205,43.8
2.3989949999999998,42.81
2.39603,43.86
2.3938200000000003,43.07
2.4108500000000004,44.69
2.3741499999999998,43.86
2.4043400000000004,43.18
2.3851950000000004,44.57
2.38044,43.42
2.381195,44.17
2.385235,43.52
2.3907900000000004,43.76
2.41399,43.57
2.360325,44.28
2.355475,44.02
2.3729000000000005,44.07
2.399865,44.2
2.3603050000000003,44.17
2.3764049999999997,44.18
2.3647650000000002,43.84
2.3683550000000007,43.73
2.4074950000000004,44.2
2.3848649999999996,44.65
2.3947450000000003,44.06
2.3574500000000005,43.55
2.4870349999999997,49.35
2.380065,45.62
2.3625500000000006,42.88
2.3744350000000005,44.06
2.39784,45.13
2.38128,43.98
2.3977950000000003,44.19
2.352215,43.91
2.3675650000000004,44.32
2.3743700000000003,44.44
2.361125,43.81
2.394645,43.98
2.366660000000001,43.38
2.370305,43.46
2.397225,43.91
