time,cpuLoad
1.005,70.41
0.924,39.23
0.98,45.86
0.974,43.87
0.954,46.15
0.946,45.95
1.179,67.24
0.988,48.41
1.216,68.51
1.273,55.89
0.997,46.65
0.907,48.26
0.938,50.59
0.925,40.64
0.908,40.45
0.902,43.45
0.963,43.14
0.902,37.84
0.91,46.18
0.904,40.96
0.914,44.85
0.927,38.41
0.912,39.92
0.905,37.7
0.951,45.24
0.937,39.16
0.918,40
0.916,39.39
0.929,44.77
0.919,40.92
0.901,40.76
0.914,37.73
0.912,42.74
0.898,47.7
0.913,41.82
0.903,43.2
0.893,40.16
0.953,45.45
0.935,40.85
0.897,38.93
0.94,41.53
0.937,46.67
0.907,37.14
0.886,39.55
0.91,37.86
1.119,46.02
0.906,36.38
0.906,42.35
0.981,54.69
0.961,49.12
0.904,39.29
0.935,39.45
0.926,39.71
0.972,44.95
0.919,41.82
0.897,38.43
0.925,40.58
0.891,36.86
0.924,46.25
0.956,39.6
0.946,41.05
0.892,36.52
1.047,56.13
0.923,40.91
0.907,40.69
0.898,37.84
0.928,49.02
0.9,40.61
0.917,41.6
0.92,40.96
0.908,46.68
0.896,37.45
0.882,39.96
0.919,42.54
0.92,43.37
0.901,46.41
0.914,40.37
0.918,36.63
0.911,41.8
0.987,47.82
0.909,37.5
0.923,39.72
0.908,39.71
0.918,43.71
1.505,65.46
0.883,47.45
0.877,33.97
0.945,43.09
0.883,34.26
0.898,34.31
0.91,39.24
0.929,45.92
0.876,32.97
0.888,33.76
0.866,36.36
0.944,44.07
1.27,83.14
1.062,58.21
1.003,52.83
1.223,70.5
1.044,65.31
0.981,37.26
0.973,37.19
0.973,34.91
0.973,32.95
0.99,33.02
0.979,33.71
0.969,33.66
0.953,34.24
0.958,33.46
0.955,33.07
0.978,33.71
0.972,33.08
0.957,32.62
0.957,33.53
0.969,32.82
0.974,33.59
0.961,33.14
0.967,32.89
0.956,33.91
0.942,33.2
0.969,33.97
0.957,33.33
0.962,33.07
0.961,33.4
0.95,32.75
0.959,33.59
0.951,33.59
0.963,34.61
0.945,33.66
0.971,33.21
0.969,33.52
0.954,33.4
0.981,32.63
0.967,33.08
0.951,33.27
0.963,33.46
0.977,34.61
0.965,33.14
0.969,33.46
0.949,33.01
0.967,33.46
0.958,33.53
0.957,32.75
0.959,34.67
0.943,32.94
0.962,33.72
0.968,36.08
0.959,53.3
0.949,35.01
0.943,34.5
0.957,37.91
0.971,33.91
0.968,34.72
0.945,34.24
0.961,34.11
0.946,33.53
0.941,34.31
0.958,33.59
0.952,33.59
0.962,34.17
0.971,33.65
0.97,34.17
0.95,33.85
0.955,33.2
0.958,33.46
0.955,33.98
0.955,34.31
0.952,33.92
0.975,34.36
0.937,35.63
0.954,34.1
0.957,33.85
0.935,34
0.959,35.01
0.953,34.24
0.957,34.63
0.966,34.17
0.955,33.66
0.962,33.14
0.956,34.87
0.949,33.73
0.949,33.73
0.952,34.44
0.947,33.4
0.953,34.18
0.969,33.72
0.968,34.1
0.961,33.46
0.957,33.53
0.955,34.44
0.946,33.99
0.947,33.72
0.965,33.78
0.975,33.33
0.958,46.3
0.966,33.46
0.97,36.48
0.969,33.08
0.951,33
