time,cpuLoad
0.703,63.78
0.569,40.44
0.67,47.39
0.666,46.07
0.619,54.08
0.75,53.14
0.627,50.1
0.547,48.2
0.542,41.05
0.595,47.63
0.586,40.72
0.59,43.01
0.574,42.15
0.569,43.77
0.57,43.57
0.545,42.34
0.596,48.23
0.717,50.98
0.568,53.94
0.551,44.68
0.583,44.55
0.552,45.22
0.602,48.18
0.561,44.18
0.538,45.07
0.581,47.51
0.575,52.7
0.582,49.62
0.543,45.35
0.745,49.49
0.561,41.25
0.537,40.75
0.562,46.22
0.618,45.44
0.721,49.6
0.548,42.97
0.603,48.26
0.547,42.49
0.591,49.36
0.583,43.53
0.554,43.33
0.609,48.4
0.554,41.76
0.57,47.67
0.601,42.67
0.545,47.42
0.568,43
0.62,47.23
0.714,54.85
0.574,58.18
0.546,51.51
0.599,42.13
0.612,48.13
0.586,47.15
0.564,47.55
0.598,43.19
0.652,47.78
0.549,43.07
0.589,43.22
0.551,45.09
0.594,45.52
0.646,46.25
0.612,48.94
0.655,62.02
0.576,42.66
0.617,48.5
0.572,41.32
0.547,44.11
0.673,48.48
0.565,44.43
0.612,47.96
0.572,41.47
0.586,48.3
0.561,43.57
0.65,48.85
0.579,42.05
0.541,41.82
0.542,47.03
0.562,43.59
0.55,47.5
0.575,44.87
0.56,47.38
0.599,45.62
0.557,45.23
0.553,44.69
0.603,41.14
0.602,49.84
0.569,44.44
0.565,47.83
0.555,45.36
0.615,46.79
0.557,43.21
0.545,42.01
0.556,47.49
0.653,47.1
0.613,47.55
0.559,45.06
0.57,46.67
0.537,43.86
0.678,46.94
0.656,48.52
0.61,35.34
0.578,33.33
0.67,45.33
0.589,39.61
0.609,33.65
0.612,33.4
0.594,33.12
0.608,32.88
0.613,33.3
0.609,32.88
0.588,40.93
0.576,33.15
0.616,34.2
0.602,32.66
0.586,33.09
0.586,33.16
0.602,33.89
0.601,32.95
0.598,33.12
0.589,32.88
0.583,33.19
0.584,33.12
0.584,32.76
0.605,33.44
0.606,34.34
0.596,33.47
0.594,33.44
0.581,33.16
0.605,33.19
0.587,32.49
0.597,33.05
0.587,32.8
0.597,33.05
0.589,31.95
0.604,32.95
0.586,33.4
0.598,33.23
0.607,33.61
0.6,33.09
0.605,33.4
0.61,32.7
0.584,33.79
0.586,34.18
0.592,33.05
0.577,32.87
0.584,33.23
0.635,33.33
0.581,32.69
0.604,32.84
0.585,32.84
0.581,33.51
0.597,32.88
0.602,33.23
0.594,32.77
0.588,32.88
0.604,33.02
0.576,32.62
0.604,32.7
0.621,33.2
0.597,33.12
0.604,32.91
0.581,32.44
0.594,33.12
0.597,34.06
0.619,33.16
0.601,32.88
0.632,33.54
0.607,33.26
0.599,33.09
0.58,33.3
0.58,33.26
0.618,33.12
0.587,32.7
0.592,32.7
0.574,32.84
0.581,33.58
0.587,33.05
0.608,33.3
0.604,32.88
0.615,32.95
0.613,32.98
0.581,32.58
0.594,32.73
0.587,32.45
0.598,32.91
0.59,32.73
0.616,33.3
0.599,33.16
0.605,33.44
0.602,33.13
0.599,33.16
0.58,32.31
0.586,33.93
0.602,32.81
0.599,33.58
0.599,33.26
0.588,32.69
0.597,33.08
0.582,33.01
