time,cpuLoad
1.256954,48.6
1.733192,54.15
1.271529,41.15
1.251095,40.88
1.223507,39.86
1.174243,33.68
1.29713,41.45
1.226073,34.81
1.279272,44.03
1.397539,43.85
1.15998,33.55
1.28494,45.13
1.28167,40.94
1.238505,38.7
1.157505,35.89
1.34226,51.38
1.370219,42.81
1.179857,36.95
1.285432,43.43
1.232406,36.49
1.251033,40.18
1.264768,41.15
1.159869,34.37
1.260456,40.94
1.170898,34.21
1.256993,42.94
1.264753,42.47
1.1611,34.75
1.345816,44.33
1.185156,35.19
1.325872,41.94
1.285525,40.37
1.163937,34.57
1.200185,40.25
1.182069,37.4
1.279696,41.15
1.320226,41.88
1.157906,34.37
1.199077,40.37
1.222738,34.9
1.278232,42.59
3.092815,71.07
1.3155,52.1
1.285133,44.76
1.313772,42.02
1.195586,35.89
1.237069,37.3
1.314445,45.22
1.426001,58.69
1.31384,60.18
1.477124,58.64
1.248363,37.17
1.328547,39.46
1.21894,36.21
1.295841,39.39
1.240036,47.41
1.233951,38
1.241268,38.99
1.237252,38.13
1.256538,39.48
1.191898,36.8
1.334887,45.93
1.251602,41.59
1.231006,39.82
1.255215,42.54
1.225006,47.01
1.250397,37.76
1.370362,45.21
1.181055,34.19
1.24058,39.27
1.251082,41.23
1.231676,35.59
1.288262,46.76
1.823483,81.82
2.441716,82.18
1.698642,70.09
2.222178,71.36
1.461371,62.98
1.621806,78.1
2.042175,79.7
1.931962,82.42
2.22453,96.91
3.101349,99.48
4.703773,99.91
4.872277,99.25
4.539506,98.99
7.675853,97.55
3.835209,95.74
2.045234,81.75
4.260794,93.21
2.767928,91.76
3.543517,93.65
3.119992,90.4
4.723409,96.22
3.595535,91.78
1.724187,78.02
1.825869,72.97
1.828182,62.14
1.419878,65.11
1.651964,58.82
2.13128,70.67
1.550582,58.63
1.465021,64.32
1.487185,61.3
1.732979,56.93
1.521763,59.91
2.200338,86.45
3.418991,89.78
1.371806,52.95
1.936489,64.01
1.642702,59.37
2.318126,70.08
2.938878,75.39
1.616198,58.06
1.361251,54.43
1.31832,45.2
1.375202,46.3
1.350107,65.49
1.281959,38.08
1.326732,44.34
1.20533,38.25
1.264074,42.62
1.812027,55.91
1.205806,38.84
1.462651,56.18
1.546354,48.4
1.161689,33.41
1.249492,38.76
1.207977,31.97
1.215114,33.01
1.209669,37.49
1.188489,32.32
1.227555,35.47
1.1989,36.52
1.240044,38.38
1.427422,48.82
1.208416,34.13
1.181174,50.75
1.309122,45.5
1.466428,48.87
1.586207,53.08
1.256182,37.52
1.213279,33.55
