time,cpuLoad
0.162519,79.46
0.401722,96.6
0.233968,96.32
0.206642,90.31
0.186565,91.51
0.349181,95.8
0.206087,90.91
0.171337,81.14
0.173721,74.25
0.280018,67.96
0.159893,44.93
0.195725,66.44
0.154961,58.27
0.192084,59.35
0.168321,58.78
0.164892,70.99
0.154237,40.77
0.170846,52.78
0.161255,48.23
0.242488,80.11
0.209105,81.77
0.202897,79.05
0.191045,81.15
0.171785,87
0.212997,88.79
0.157418,58.79
0.169111,54.61
0.154568,56.05
0.154698,37.21
0.157382,49.63
0.156638,39.69
0.155785,42.42
0.153399,37.8
0.161736,43.07
0.159764,42.64
0.158352,49.66
0.165267,47.37
0.166209,64.71
0.164333,64.67
0.155763,45.45
0.160107,64.33
0.169513,65.29
0.165369,60.9
0.156773,47.26
0.16752,59.87
0.158723,43.07
0.15373,36.8
0.157909,48.09
0.156243,40.31
0.158645,40.94
0.158835,39.23
0.159101,40.63
0.15309,47.1
0.157333,40
0.155759,39.68
0.15611,34.56
0.152662,35.94
0.15498,40.31
0.157584,41.22
0.158426,37.98
0.152905,38.52
0.156521,70.39
0.157666,73.15
0.153221,47.06
0.156513,34.96
0.154761,38.4
0.155368,35.16
0.190444,91.76
0.160129,76
0.155182,69.13
0.155137,37.78
0.158196,52.08
0.154525,35.66
0.161037,51.7
0.153615,35.25
0.169662,55.92
0.176513,57.79
0.154662,42.42
0.163901,50.35
0.210425,77.14
0.158148,68.82
0.167737,47.79
0.166362,52.11
0.168676,67.84
0.170414,66.06
0.155127,33.06
0.160362,42.19
0.191872,61.54
0.156504,48.5
0.159752,45.04
0.155147,39.68
0.155986,37.21
0.200622,93.71
0.220719,87.29
0.183061,83.84
0.158415,56.96
0.163471,45.32
0.183414,58.43
0.160136,55.71
0.269045,85.07
0.169796,66.11
0.168063,44.7
0.205216,63.87
0.165147,43.38
0.163711,50.7
0.150038,47.83
0.169823,48.89
0.159791,73.61
0.15793,40.31
0.154432,43.75
0.155273,38.4
0.157983,38.71
0.174589,49.62
0.155213,43.28
0.16714,49.29
0.16037,40.15
0.173992,61.29
0.174983,65.54
0.154303,34.68
0.157921,45.11
0.172692,59.71
0.160269,52.9
0.163812,56.16
0.15294,33.87
0.157048,44.7
0.262693,66.48
0.174895,46.62
0.15441,42.96
0.157841,38.58
0.154678,42.11
0.226519,72.51
0.161562,43.18
0.181374,64.94
0.155822,52.08
0.166238,53.19
0.155921,34.4
0.165504,52.55
0.162985,41.67
0.248822,66.47
0.169084,77.18
0.167997,71.33
0.184223,78.26
0.262509,80.31
0.184113,92.39
0.160322,77.73
0.160123,37.69
0.160504,39.1
0.219218,81.63
0.192228,94.86
0.171529,71.43
0.177909,70
0.158177,37.01
0.162339,37.59
0.157425,40.6
0.154104,37.21
0.176754,80
0.159156,45.04
0.155661,36.51
0.153386,33.87
0.156676,37.69
0.152577,37.4
0.156434,37.21
0.153361,36.59
0.159507,34.68
0.155937,35.94
0.158171,41.86
0.152477,33.06
0.154443,37.3
0.159502,39.68
0.161802,35.88
0.155944,38.4
0.152333,41.8
0.157249,38.28
0.15465,33.79
0.159349,38.76
0.154878,35.54
0.1524,37.3
0.160226,35.88
0.150246,36.8
0.153585,36.72
0.158684,43.85
0.159161,40
0.165146,62.73
0.157678,35.66
0.158472,39.37
0.155766,35.16
0.15832,37.5
0.151302,38.58
0.154274,37.1
0.15696,41.67
0.16835,49.62
0.171914,59.88
0.157788,42.45
0.164622,60.53
0.162124,57.79
0.156378,40.3
0.152399,36.8
0.15845,35.16
0.153216,41.41
0.164495,47.01
0.152926,41.35
0.163336,52.38
0.15976,58.39
0.156676,37.3
0.162498,64.12
0.163708,52.98
0.166903,59.38
0.154548,47.9
0.159038,37.9
0.153797,37.3
0.152802,37.1
0.156647,37.3
0.160356,39.84
0.158103,38.58
0.161587,36.51
0.154431,38.84
0.158895,31.75
0.156042,42.22
0.153914,39.37
0.152736,32.28
0.165536,46.97
0.156027,37.3
0.1542,38.28
0.156719,35.2
0.153661,37.98
0.154688,35.25
0.155213,44.36
0.152649,34.15
0.158585,37.5
0.151989,36.51
0.156664,35.94
0.159935,37.6
0.157458,33.33
0.159364,39.23
0.158838,34.88
0.155204,40.15
0.152564,36.8
0.157087,39.23
0.154638,36.72
0.479144,80.81
0.171438,74.63
0.202519,65.35
0.171817,81.03
0.160606,54.61
0.153705,48.95
0.15384,47.48
0.152111,44.53
0.155475,51.03
0.157377,48.61
0.15663,47.55
0.1549,47.89
0.158942,47.18
0.156954,49.65
0.152181,45
0.162531,55.92
0.158921,46.27
0.15422,55.94
0.159632,48.59
0.15409,47.89
0.154064,49.29
0.153103,43.8
0.148821,47.48
0.152704,48.92
0.15157,44.53
0.158109,48.59
0.152926,48.2
0.158897,42.86
0.154339,51.06
0.151656,46.81
0.151135,45.26
0.158098,48.59
0.154923,42.86
0.155518,47.48
0.219231,77.6
0.170018,70.73
0.154332,48.97
0.151445,51.41
0.156057,57.14
0.158701,51.66
0.170726,59.74
0.15713,67.88
0.165606,54.79
0.158736,50.34
0.15153,44.2
0.151053,46.76
0.153559,45.65
0.155497,49.3
0.155631,47.22
0.153738,48.57
0.160358,43.57
0.154444,45.32
0.155865,52.41
0.153873,42.65
0.15234,51.05
0.153153,47.83
0.154198,42.34
0.1497,49.3
0.153456,72.26
0.153262,45.26
0.158761,45.39
0.154719,47.1
