time,cpuLoad
1.007253,86.06
0.842781,66.05
0.914656,63.62
0.731268,47.73
0.734526,41.29
1.081292,74.95
0.784469,51.08
0.794422,53.24
0.728861,41.09
0.711045,38.29
0.769964,46.84
0.716526,36.51
0.709777,34.71
0.716673,34.44
0.736218,33.78
0.812021,54.17
0.709114,43.8
0.707123,35.77
0.720963,34.62
0.708272,35.1
0.706874,33.52
0.993205,68.47
0.739586,30.51
0.710921,29.19
0.706679,31.27
0.719065,32.49
0.711645,29.62
0.728799,39.94
0.729692,30.4
0.71024,30.46
0.700921,29.55
0.691849,29.71
0.709728,30.9
0.745443,39.94
0.756297,41.11
0.712965,35.09
0.719844,29.23
0.703746,34.01
0.718786,31.2
0.703509,30.88
0.715141,29.77
0.71575,30.17
0.709352,30.5
0.694499,29.59
0.723881,32.01
0.716714,36
0.723653,30.43
0.712609,29.68
0.7175,29.68
0.694363,29.29
0.715808,31.88
0.695255,30.47
0.725635,30.2
0.722196,31.44
0.704881,29.82
0.714971,30.57
0.770635,43.25
0.712992,29.94
0.715271,30.23
0.696508,29.24
0.698952,29.74
0.710358,31.29
0.728714,30.86
0.704234,32.29
0.72438,29.83
0.711406,30.43
0.724534,30.51
0.704996,31.1
0.719636,29.31
0.701134,30
0.71228,28.95
0.720438,32.86
0.73279,39.2
0.753315,42.02
0.714991,31.12
0.721673,30.72
0.704103,30.29
0.722352,29.97
0.715397,31.81
0.717297,30.23
0.72002,30.7
0.709944,28.82
0.694764,30.79
0.715525,30.48
0.705353,32.86
0.73039,31.07
0.715165,29.33
0.710583,33.04
0.7187,30.47
0.707611,29.6
0.719037,33.71
0.723625,29.6
0.699377,29.91
0.719915,31.53
0.714575,29.03
0.714377,29.57
0.723783,32.4
0.698474,30.27
0.703991,29.65
0.715114,29.07
0.70695,31.01
0.716,32.56
0.714932,31.79
0.714567,30.52
1.076242,60.61
0.825224,62.26
1.399843,83.41
0.867128,64.17
0.821609,47.44
0.810908,54.73
0.723415,37.25
0.714134,31.69
0.882492,52.41
0.946739,64.09
0.78448,53.53
0.720498,36.16
0.72266,35.2
0.724157,36.71
0.78955,48.65
0.728073,46.67
0.719108,48.72
0.702163,36.03
0.713646,34.17
0.715076,34.81
0.715989,33.33
0.780438,47.97
0.716337,51.71
0.746905,44.16
0.727956,36.12
0.707547,32.96
0.720935,34.69
0.71786,36.74
0.77353,51.03
1.006648,65.04
1.011136,62.48
1.002735,67.82
0.734985,32.29
0.747587,45.58
0.712902,31.32
0.715161,31.92
0.720688,32.86
0.729389,48.59
0.744869,37.67
0.785811,53.02
0.83727,54.07
0.722878,38.78
0.709821,29.68
0.715497,30.06
0.746019,41.9
0.716907,30.32
0.865483,73.47
0.945837,80.38
1.130664,80.63
1.422179,90.78
1.172744,85.36
0.99347,70.39
1.295936,85.31
1.230119,85.67
1.141905,79.51
1.017024,70.48
1.064831,81.48
0.792454,70.96
0.902526,69.45
1.454226,86.69
0.795177,63.46
1.372619,86.38
1.650163,89.81
0.802598,57.79
1.163687,78.36
0.743543,42.59
0.721224,35.16
0.727866,35.31
0.898235,68.41
0.870281,74.43
0.922518,74.26
1.787994,86.47
1.568855,88.49
0.858925,74.5
0.743857,58.87
0.980183,79.36
0.828609,67.53
1.392037,84.97
0.757055,41.18
0.792184,57.97
0.868921,67.98
0.726341,33.62
0.751801,36.26
0.714502,32.39
0.757318,43.68
0.73187,36.07
0.72582,31.92
0.720961,31.12
0.717284,33.05
0.737411,34.76
0.743307,45.82
0.735457,32.29
0.70434,31.78
0.715984,31.88
0.714657,33.43
0.723997,31.2
0.750515,45.75
0.722822,34.19
0.703765,31.59
0.721747,34.01
0.89628,61.89
0.714336,37.12
0.755137,44.44
0.718822,30.9
0.711791,31.71
0.780703,42.86
0.717802,43.54
0.745531,33.9
0.789625,45.33
0.70337,31.98
0.7169,32.38
0.79965,43.77
0.727717,34.75
0.715449,35.69
0.879166,60
0.737236,31.94
0.721109,37.54
0.741202,39.02
0.712434,34.37
0.723974,33.05
0.734153,31.52
0.718122,31.12
0.811233,43.9
0.726875,33.71
0.716697,32.18
0.710739,31.5
0.70653,31.2
0.728652,33.82
0.718102,31.14
0.703042,32.94
0.728286,32.12
0.81596,44.76
0.724011,31.03
0.718363,31.7
0.74992,40.11
0.707187,31.1
