time,cpuLoad
1.031,42.95
4.393,71.96
0.966,66.42
0.992,33.73
0.957,31.24
0.954,29.09
0.966,33.11
0.923,27.5
0.889,25.28
0.911,22.11
0.929,24.11
0.916,21.16
0.916,21.27
0.904,20.25
0.916,21.62
0.919,23.23
0.897,21.37
0.922,22.64
0.904,22.79
0.923,22.15
0.904,22.86
0.912,22.11
0.907,25.2
0.897,23.07
0.906,21.03
0.927,21.38
0.906,21.27
0.909,21.73
0.902,20.69
0.917,23.43
0.905,20.87
0.898,19.63
0.904,22.04
0.905,21.87
0.924,20.53
0.927,20.82
0.898,21.01
0.902,20.98
0.92,20.34
0.916,21.1
0.913,21.37
0.925,25.12
0.932,22.1
0.92,21.73
0.937,33.28
0.925,52.35
0.912,24.62
0.939,27.66
0.945,48.15
0.932,32.17
0.989,39
0.984,58.25
0.975,45.3
1.183,52.9
1.175,42.24
0.914,33.1
1.438,57.77
0.968,48.44
1.168,54.86
1.288,41.61
1.296,50.37
0.908,44.96
1.102,59.59
1.136,44.42
1.327,54.73
0.904,54.57
1.366,34.8
0.901,24.6
0.913,33.19
0.893,18.93
2.015,49.53
