time,cpuLoad
4.464,29.04
4.579,38.18
4.39,27.21
4.301,22.45
4.32,22.22
4.326,21.99
4.432,25.89
4.395,21.78
5.008,41.64
4.419,23.98
4.396,24.23
4.277,24.52
4.449,24.32
4.846,24.29
4.444,26.39
6.002,24.18
4.637,37.88
5.212,51.15
5.386,50.25
5.032,49.85
5.408,62.87
5.411,59.89
4.811,55.27
4.793,34.17
4.712,38.83
4.628,37.83
4.8,36.72
5.188,47.98
5.25,62
5.591,66.83
5.621,63.54
4.86,58.98
6.019,58.9
6.345,67.94
6.383,65.39
6.999,60.1
4.838,48.12
4.664,44.54
5.008,48.34
4.734,28.5
4.319,20.37
6.016,24.88
8.869,58.55
5.021,54.33
4.478,34.02
4.204,18.7
4.212,16.52
6.712,67.56
5.307,69.28
4.502,34.24
4.524,26.72
4.418,22.35
4.285,21.71
4.448,24.64
4.287,21.84
4.396,22.46
4.816,21.18
4.291,20.87
4.826,21.32
4.358,21.11
7.911,51.77
4.88,66.53
5.878,73.18
4.765,47.07
5.357,49.94
5.269,49.7
5.556,55.61
4.728,40.44
4.65,27.77
4.73,27.34
4.746,27.93
4.679,24.47
4.788,28.06
4.734,30.03
4.613,25.36
4.702,27.19
4.651,24.75
4.609,25.67
5.318,49
5.49,72.8
4.637,36.78
4.544,31.24
5.323,48.69
5.389,41.74
5.355,58.43
5.074,59.34
4.897,52.9
4.779,51.59
5.148,60.44
4.756,47.13
5.134,27.49
4.633,23.92
4.812,27.38
5.027,30.2
4.673,32.87
4.837,38.75
4.659,26.34
4.736,26.53
4.642,34.87
4.571,29.74
4.987,23.98
4.565,25.78
4.623,29.24
4.676,33.24
4.645,31.39
5.015,23.51
4.519,23.79
5.092,23.98
5.038,23.8
4.668,25.11
5.039,27.1
4.601,24.95
4.592,24.18
5.095,31
4.685,25.64
5.112,23.45
5.086,25.06
4.988,23.51
4.514,23.47
4.622,23.46
5.074,41.2
4.673,30.15
4.542,23.84
5.121,24.83
4.669,24.15
4.664,23.97
4.556,24.39
4.613,24.03
4.632,24.39
4.724,25.21
4.641,28.47
4.927,32.93
4.711,28.93
5.157,49.35
4.829,41.85
4.567,26.1
5.044,25.82
4.617,26.43
6.397,25.02
4.647,24.18
4.547,27.09
4.64,24.53
4.532,25.41
4.632,26.18
5.12,26.33
4.575,25.01
6.313,26.77
5.107,25.28
4.6,25.07
4.589,26.37
5.039,25.08
4.649,25.31
4.596,25.09
5.073,38.56
4.648,24.59
4.696,24.09
4.539,25.14
5.103,24.82
4.646,26.33
4.74,28.42
4.733,26.28
5.023,25.55
4.537,25.31
4.71,27.29
4.541,25.62
5.09,26.8
4.668,26.48
4.564,25.19
4.545,24.36
5.111,37.7
6.321,34.76
4.674,24.56
4.695,24.63
6.312,24.8
4.686,25.03
4.715,25.69
4.669,24.34
4.65,25.68
4.686,32.64
4.564,25.26
4.657,26.16
4.708,24.51
4.683,25.01
5.03,25.93
4.574,25.56
6.319,26.61
4.693,25.56
5.503,40.2
4.784,36
5.38,75.24
5.195,62.33
5.831,77.4
6.21,81.13
5.874,80
4.791,37.4
5.595,44.51
5.292,52.14
6.21,58.67
5.425,41.16
7.27,77.79
5.588,77.28
5.495,75.82
5.512,73.76
6.592,86.56
6.196,84.36
8.424,83.56
9.469,86.35
7.392,83.97
6.137,81.65
7.033,81.55
7.896,84.21
8.063,82.88
7.557,84.18
6.736,76.81
7.044,71.38
6.41,69.74
6.985,71.21
7.119,71.25
8.867,75.43
4.976,52
4.771,45.44
4.455,24.32
5.44,48.86
4.536,34.01
5.109,55.56
4.866,61.65
4.854,33.84
5.548,65.1
4.993,37.63
4.546,45.43
4.912,41.35
5.006,41.07
4.979,50.6
5.181,51.97
4.864,46.65
5.297,47.71
5.155,32.87
4.762,33.14
5.134,35.23
4.614,34.04
4.689,35.11
5.082,45.25
4.673,34.3
5.166,34.45
4.586,35.95
6.317,64.38
4.618,35.47
4.758,33.72
4.725,33.83
5.143,33.52
4.709,36.35
4.787,34.75
5.05,33.1
5.146,24.6
4.754,36.59
4.741,52.42
4.512,36.18
4.505,35.19
5.117,24.84
4.777,49.68
4.665,48.21
5.02,40.17
4.611,35.78
6.384,31.68
4.761,29.79
4.644,31.44
4.551,31.11
4.662,31.52
4.731,29.78
4.605,30.36
5.007,41.71
4.698,41.14
4.797,29.97
4.691,30.66
4.672,30.97
4.714,30.68
4.67,31.97
5.143,34.57
4.74,29.42
6.258,32.07
4.876,45.2
4.762,39.06
5.16,32.55
5.163,33.16
4.677,30.52
4.862,41.42
4.657,30.97
4.572,30.33
4.599,30.65
4.718,32.16
4.936,36.83
4.811,45.11
4.856,43.95
4.713,31.47
4.769,29.26
4.655,30.4
4.589,30.31
4.862,40.54
4.729,47.55
5,44.75
