time,cpuLoad
0.247,50.22
0.19,35.39
0.204,17.96
0.227,44.03
0.32,34.03
0.203,47.48
0.363,49.25
0.182,36.88
0.349,51.79
0.274,43.01
0.18,27.39
0.242,30.53
0.209,40.97
0.221,40.87
0.245,40.95
0.212,40.17
0.228,39.43
0.237,54.4
0.191,41.44
0.186,28.44
0.18,27.69
0.238,43.29
0.185,26.37
0.183,23.21
0.275,42.46
0.228,33.87
0.186,48.98
0.204,45.9
0.385,62.33
0.202,39.04
0.261,31.09
0.359,64.58
0.196,75
0.231,36.63
0.278,51.22
0.306,60.34
0.191,35.39
0.205,23.07
0.274,45.81
0.27,49.84
0.193,30.27
0.262,49.07
0.207,45.48
0.183,27.5
0.19,20.98
0.195,16.74
0.234,26.75
0.251,60.4
0.293,72.32
0.236,54.93
0.237,38.41
0.217,46.91
0.244,46.29
0.259,41.17
0.232,44.71
0.221,38.94
0.202,39.22
0.231,42.61
0.251,43
0.255,56.23
0.242,53.75
0.235,40.91
0.229,40.91
0.216,39.51
0.222,37.22
0.286,42.16
0.221,39.31
0.215,37.94
0.244,39.25
0.248,40.42
0.201,38.75
0.199,37.31
0.222,39.76
0.217,40.27
0.218,37.43
0.218,36.71
0.224,37.03
0.233,36.45
0.22,35.72
0.219,38.18
0.229,36.27
0.213,36.73
0.217,38.25
0.228,37.53
0.219,37.03
0.22,36.13
0.216,37.96
0.203,51.99
0.207,38.81
0.219,37.76
0.214,36.68
0.215,38.03
0.221,41.96
0.215,38.18
0.215,35.97
0.214,39.43
0.24,39.06
0.218,41.28
0.23,38.29
0.257,39.37
0.202,36.99
0.215,38.19
0.237,39.06
0.211,36.74
0.212,37.38
0.215,39.55
0.214,37.46
0.196,22.22
0.202,35.19
0.312,29.5
0.207,35.73
0.205,43.18
0.217,26.11
0.195,21.68
0.2,21.07
0.208,27.06
0.183,25.05
0.2,24.19
0.211,23.98
0.205,22.94
0.203,19.93
0.218,22.12
0.195,21.44
0.207,19.9
0.197,20.06
0.207,25.06
0.207,27.29
0.194,23.99
0.195,23.81
0.199,18.66
0.212,20.41
0.193,18.66
0.224,21.63
0.201,20.81
0.2,23.12
0.218,39.83
0.252,48.1
0.211,18.11
0.214,20.74
0.209,21.5
0.219,19.5
0.202,18.27
0.212,19.27
0.194,25.48
0.225,22.82
0.194,23.86
0.207,19.9
0.194,19.96
0.215,19.9
0.195,19.88
0.188,19.05
0.192,18.3
0.212,23.39
0.213,26.01
0.24,25.2
0.201,19.21
0.188,19.13
0.19,19.36
0.255,47.39
0.192,32.48
0.187,27.45
0.183,28.43
0.181,32.1
0.19,34.8
0.187,30.21
0.199,26.59
0.205,26.33
0.199,27.26
0.196,25.67
0.192,25.26
0.201,29.66
0.189,30.83
0.201,30.43
0.198,35.74
0.209,23.3
0.193,25.97
0.207,24.02
0.2,27.27
0.189,19.62
0.206,6.24
0.204,15.34
0.205,23.14
0.192,30.5
0.186,21.03
0.219,25.37
0.205,23.4
0.201,48.69
0.263,42.16
0.211,26.23
0.234,25.03
0.327,55.66
0.206,48.54
0.205,32.73
0.211,36.19
0.234,38.39
0.239,41.77
0.208,39.66
0.195,32.9
0.198,34.97
0.197,31.29
0.234,39.14
0.273,58.64
0.197,44.09
0.2,31.8
0.21,35.09
0.21,32.13
0.269,36.91
0.198,53.78
0.205,37.67
0.211,33.63
0.203,37.11
0.196,32.06
0.195,31.85
0.278,27.82
0.231,53.42
0.228,34.4
0.226,34.05
0.23,32.87
0.203,42.86
0.263,40.08
0.226,35.69
0.254,37.11
0.198,45.75
0.194,36.54
0.194,26.79
0.198,37.49
0.204,33.28
0.208,28.81
0.261,43.74
0.195,23.67
0.24,35.41
0.216,37.88
0.202,54.75
0.202,33.25
0.207,43.3
0.201,39.54
0.29,38.63
0.318,68.19
0.209,46.54
0.205,35.49
0.222,35.76
0.255,42.79
0.248,38.12
0.185,41.1
0.226,30.03
0.199,40.63
0.246,38.28
0.243,46.88
0.209,54.42
0.229,59.36
0.233,63.15
0.234,56.82
0.205,29.78
0.193,24.06
0.198,23.59
0.191,24.23
0.191,22.5
0.194,24.24
0.391,48.52
0.219,37.57
0.244,26.93
0.2,25.14
0.29,51.47
0.216,50.91
0.213,33.59
0.228,33.72
0.215,33.79
0.207,33.88
0.231,36.26
0.312,42.3
0.395,42.28
0.254,29.91
0.217,33.64
0.216,44.42
0.206,34.81
0.209,32.82
0.205,35.16
0.218,36.09
0.203,33.93
0.204,33.88
0.25,35.08
0.209,32.25
0.222,35.91
0.197,33.2
0.199,31.66
0.201,34.6
0.216,32.89
0.202,30.79
0.201,34.31
0.207,49.44
0.222,54.35
0.271,47.81
0.194,28.24
0.189,20.52
0.222,25.44
0.192,22.28
0.212,39.39
0.248,35.68
0.233,38.71
0.203,28.79
