time,cpuLoad
0.152027,84.77
0.169117,92.53
0.152111,85.41
0.117886,74.73
0.120666,66.04
0.149487,80.77
0.133766,66.49
0.112863,48.95
0.138257,67.84
0.117144,42
0.163063,58.59
0.138895,66.67
0.138217,64.24
0.15419,66.67
0.117972,58.78
0.120574,54.73
0.120477,60.63
0.132644,63.41
0.145101,67.07
0.127962,57.23
0.129138,59.66
0.218415,78.29
0.143068,74.25
0.122728,63.82
0.112126,56.96
0.124297,62.99
0.115848,59.24
0.145981,64.13
0.164955,66.67
0.152661,71.11
0.139978,70.93
0.216087,75.76
0.204442,78.03
0.341606,78
0.119194,48.65
0.131532,49.66
0.123222,57.14
0.127544,54.55
0.120194,47.48
0.13574,56.29
0.147964,70.43
0.184935,70.87
0.172617,65.78
0.134989,51.88
0.19454,74.47
0.184465,86.77
0.12582,53.15
0.138902,59.64
0.135459,53.57
0.187146,64.37
0.189415,61.88
0.181717,78.01
0.124198,48.98
0.127039,66.67
0.124974,41.01
0.121421,39.72
0.121121,44.76
0.118626,34.11
0.12101,36.84
0.122599,33.33
0.119529,37.78
0.122217,35.77
0.122273,45.93
0.119175,35.71
0.121327,38.69
0.116971,37.04
0.121148,30.3
0.128072,48.63
0.122492,40.97
0.11496,40
0.123114,39.71
0.116134,30
0.125123,47.92
0.178442,72.34
0.163172,73.3
0.138065,47.3
0.114294,30.71
0.137221,48.63
0.162778,52.2
0.153164,40.25
0.175218,54.05
0.259766,76.07
0.143434,47.24
0.145986,50.32
0.142606,50.68
0.135431,43.42
0.124838,43.14
0.15598,48.9
0.129453,62.71
0.144089,44.19
0.177047,70
0.151272,62.5
0.116578,46.85
0.114984,40.74
0.126959,51.92
0.123237,46.62
0.135057,58.13
0.122995,40.82
0.110541,44.37
0.116576,43.57
0.114924,40.88
0.112853,44.52
0.122408,43.06
0.12005,41.43
0.11445,43.97
0.119485,44.14
0.115387,43.66
0.118597,45.58
0.115001,42.75
0.119173,42.47
0.12382,44.37
0.114943,40.82
0.12027,39.72
0.126658,43.84
0.119085,44.83
0.117321,41.43
0.117676,44.44
0.117974,42.45
0.11701,41.96
0.118998,43.97
0.113002,43.97
0.116889,49.66
0.147164,60.47
0.157408,46.91
0.195746,56.98
0.176594,60.21
0.120902,33.33
0.11563,32.84
0.118323,33.59
0.114932,30.23
0.123626,31.06
0.116605,31.01
0.114555,34.09
0.116087,39.55
0.116792,35.34
0.118737,34.33
0.126452,38.57
0.118808,34.35
0.119017,35.88
0.177436,61.54
0.171991,69.23
0.167197,50.64
0.171638,80.58
0.116151,39.13
0.122714,44.06
0.117817,44.29
0.118856,34.85
0.11998,34.09
0.12023,35.77
0.114976,47.1
0.180172,65.93
0.157294,54.17
0.121385,39.29
0.172313,61.11
0.13141,63.98
0.131322,48.23
0.119008,45.07
0.115058,31.75
0.111992,30.16
0.123075,40.77
0.12039,40.58
0.116925,38.28
0.121265,36.64
0.113634,35.11
0.116614,33.57
0.124668,31.78
0.112919,28.57
0.11833,31.97
0.115809,29.41
0.115521,32.23
0.113438,28.93
0.112444,30.33
0.117564,30.65
0.120382,54.86
0.119457,30.89
0.108867,28.81
0.112383,31.15
0.111234,28.69
0.11791,32.28
0.113103,30.25
0.109868,29.75
0.113043,31.67
0.111162,28.1
0.11491,31.45
0.12096,34.65
0.112514,29.03
0.125299,38.58
0.123923,61.87
0.121449,54.42
0.137539,45.45
0.117951,33.33
0.116938,35.16
0.127877,36.96
0.112878,35.48
0.123865,40.46
0.125069,34.81
0.129897,33.83
0.123315,29.6
0.109019,31.62
0.11448,31.97
0.121664,29.92
0.114631,32
0.111909,29.27
0.114266,32.28
0.120238,29.13
0.114321,31.75
0.110733,35.2
0.113359,27.97
0.111588,32.23
0.120053,36.51
0.184692,78.57
0.147019,78.07
0.221282,83.19
0.152614,62.38
0.137002,48.67
0.139,53.16
0.11884,35.25
0.11806,31.75
0.114434,33.06
0.114126,34.43
0.115905,34.43
0.116583,34.38
0.11934,36.92
0.110162,29.84
0.11551,31.45
0.117416,31.75
0.110516,31.09
0.111333,33.33
0.115928,38.28
0.115154,32.8
0.113941,28.46
0.11405,32.8
0.111254,28.93
0.116154,34.4
0.170315,57.23
0.119603,39.68
0.117188,48.53
0.130612,76.57
0.123677,77.58
0.13302,66.48
0.14289,43.13
0.121883,44.76
0.126525,41.43
0.114257,44.53
0.120964,47.22
0.128017,43.26
0.236083,79.43
0.132279,56.46
0.121684,48.23
0.121892,41.91
0.114951,32.81
0.124723,33.59
0.116011,32.03
0.116071,36.51
0.117908,44.76
0.113747,34.33
0.1224,43.61
0.127107,52.82
0.122565,37.96
0.116007,44.93
0.119205,45.89
0.117818,37.12
0.147686,51.39
0.142973,47.18
0.123213,31.78
0.118938,34.38
0.127695,43.8
0.122309,41.3
0.108752,31.5
0.122925,32.28
0.11368,33.07
0.120606,33.33
0.131767,51.85
0.120041,37.12
0.118451,52.99
0.120568,44.03
0.119267,41.18
0.152711,74.19
0.122197,38.41
0.114423,41.86
0.117571,38.35
0.116897,37.5
0.116259,34.62
0.117363,32.56
0.110986,31.71
0.130386,44.68
0.12137,44.37
0.154098,66.45
0.145068,64.5
0.121399,40.54
0.112442,34.35
0.12193,41.43
0.123692,36.76
0.121154,32.06
0.115034,30.95
0.116303,31.78
0.11522,28.69
0.114855,44.67
0.118348,58.13
0.147232,59.38
0.191459,94.03
1.079464,96.14
0.230274,92.07
0.445656,99.74
0.258599,98.07
0.16351,95.1
0.252883,89.12
0.13001,79.35
0.163928,91.2
0.136887,79.46
0.128949,70.81
0.144945,77.6
0.315294,86.71
0.163629,89.69
0.25646,88.26
0.233633,80
0.203068,76.35
0.15987,76.59
0.182054,62.64
0.187671,69.61
0.377215,99.38
0.324704,99.36
0.22365,93.8
0.161839,70.1
0.186471,68.88
0.169592,68.04
0.127215,46.9
0.130585,46.53
0.137148,51.01
0.137885,61.59
0.15619,68.51
0.125509,50.34
0.139257,53.02
0.137212,55.03
0.149736,68.57
0.132436,55.49
0.130099,51.92
0.122287,45.89
0.124066,48.97
0.126959,61.15
0.129864,57.5
0.122458,44.37
0.148956,66.05
0.148931,66.85
0.185626,75.26
0.129088,43.57
0.131335,58.06
0.197979,71.13
0.134596,61.41
0.137737,46.1
0.130193,51.92
0.131105,50.34
0.135973,57.96
0.121595,76.02
0.122958,56
0.117868,39.71
0.148129,65.52
0.128075,51.88
0.125924,43.48
0.152853,67.51
0.120145,40.28
0.120217,39.55
0.119479,37.04
0.124841,44.44
0.141538,62.57
0.123319,48.97
0.124378,43.66
0.120711,45.77
0.127836,43.84
0.124003,44.14
0.119171,40.29
0.156052,59.75
0.137415,66.85
0.121225,44.53
0.148789,56.52
0.122755,56.73
0.119078,40
0.126078,41.84
0.122497,38.24
0.155401,60.87
0.129193,67.19
0.125333,44.37
0.132725,52.38
0.125268,45.89
0.121529,47.65
0.121162,46.98
0.120946,40.58
0.121064,36.3
0.122843,45.21
0.12109,39.13
0.124462,37.68
0.120707,43.26
0.122995,39.57
0.119542,44.06
0.14044,50.99
0.191763,86.18
0.127229,58.82
0.11718,46.05
0.15984,67.42
0.129934,57.67
0.11988,35.82
0.189362,94.44
0.145974,67.82
0.121723,40.94
0.142877,81.08
0.115871,64.24
0.145012,73.13
0.172204,92.27
0.128972,57.31
0.127098,39.57
0.119692,40.44
0.120987,41.43
