time,cpuLoad
4.705083,43.45
4.941191,43.45
4.686329,38.16
4.630804,34.45
4.600456,33.75
4.593088,37.99
4.748625,38.22
4.665198,32.69
5.189077,47.29
4.82938,44.91
4.58492,37.51
4.669732,34.88
5.099238,45.18
5.363469,49.1
4.638767,35.78
6.385868,58.97
6.058183,59.84
5.81898,61.71
7.581667,68.55
4.661675,30.49
4.614927,31.56
4.623928,32.64
4.67867,30.78
4.677449,32.91
4.596037,31.54
4.532821,29.75
4.523031,32.05
4.541427,30.5
4.528871,30.08
4.521596,30.55
5.018106,41.18
5.288331,43.74
5.970585,54.13
5.999935,56.08
5.623352,49.68
6.041883,48.97
7.320072,62.48
5.444596,42.53
5.125881,41.96
5.003757,43.1
4.601837,31.26
4.674175,40.96
4.626851,30.11
4.708713,34.66
5.063231,52.66
5.296032,41.34
4.633248,32.79
6.589549,49.36
5.607378,49.08
5.346344,46.73
5.401686,51.52
6.497003,48.41
5.119882,39
6.197244,52.59
7.004112,53.12
4.934146,45.59
5.052345,41.63
4.63101,31.79
4.945032,37.16
5.329754,50.32
5.385667,47.71
7.02031,81.99
8.851833,90.9
9.209742,96.15
8.785975,96.02
13.31514,99.05
13.633178,95.25
26.338783,99.9
10.224526,93.1
13.730169,94.05
7.008897,85.47
5.719359,69.98
6.612705,73.8
5.940633,68.5
6.606186,71.51
7.286204,74.08
6.285048,73.31
6.156126,78.75
6.521239,72.7
6.074304,73.16
6.627156,72.19
5.90319,73.43
7.134269,75.95
6.787632,78.59
6.139065,71.15
6.446566,75.74
7.542778,84.36
9.139561,92.35
7.134724,81.49
6.192919,69.7
6.634909,74.81
6.784119,74.11
8.198514,82.47
13.84485,91.62
9.835267,84.65
10.680162,94.81
9.706243,88.69
8.728686,90.46
10.989785,93.42
7.643858,77.55
5.451235,59.17
7.113129,71.4
4.627467,47.82
4.761718,51.49
4.771557,48.16
4.760735,42.76
4.616556,32.48
4.674331,34.55
4.572268,31.46
4.580378,31.98
4.555331,30.14
4.619033,30.92
4.596031,30.31
5.086773,45.32
4.723126,36.02
4.644391,38.99
4.617955,30.97
4.5946,31.23
4.572109,30.9
4.62748,31.39
4.605363,37.9
4.652756,36.63
4.941573,49.95
4.6539,35.96
4.568452,35.07
4.586886,32.1
4.612967,29.61
4.648579,33.58
4.654026,31.22
4.637884,31.42
4.594517,31.29
4.624533,30.92
4.619793,31.02
4.697284,32.22
4.60255,35.64
4.600179,32.08
4.60742,31.88
4.610212,30.95
4.458792,35.47
4.580419,30.76
4.640055,31.17
4.676295,30.97
4.66969,36.15
4.761723,35.1
5.038678,56.57
4.726863,36.44
4.63141,32.99
4.625077,30.69
4.636596,32.42
4.605733,30.55
4.568806,31.06
4.579067,30.27
4.65763,32.75
4.593926,30.97
4.636384,31.59
4.631384,31.88
4.678655,36.72
4.584411,30.31
4.619889,31.02
4.60858,31.36
4.596394,31.8
4.586796,33.2
4.64028,30.36
4.65039,32.69
4.666118,31.8
4.686343,32
4.596,31.04
4.600179,32.33
4.596221,30.61
4.59786,30.87
4.616323,31.02
4.59546,31.58
4.62896,31.53
4.655058,33.32
4.568794,35.48
4.660849,33.11
4.601944,31.06
4.617357,31.18
4.637473,36.8
4.881756,50.96
5.176851,47.82
4.830344,45.21
5.980446,59.11
5.468553,63.68
6.028849,73.14
5.077567,65.03
6.797548,77.01
5.113006,72.78
4.730365,60.29
4.658631,54.41
4.607177,44.65
4.531365,35.5
4.487172,31.36
4.573934,32.6
4.519513,33.05
4.571223,31.56
4.587139,39.34
4.538877,34.36
4.544985,30.7
4.505064,32.32
4.57333,33.35
4.544382,34.87
4.521148,31.88
4.460542,37.54
4.548862,31.03
4.559251,32.58
5.436835,58.48
5.051732,50.38
6.058487,68.23
5.509596,64.78
4.613961,35
5.46613,66.75
6.091679,75.63
4.967136,43.62
5.955338,57.47
5.099592,46.57
4.913979,41.66
5.052602,46.32
5.959203,53.11
5.047644,51.6
5.993019,60.98
8.644082,76.55
7.053234,71.18
5.170945,58.54
5.30923,49.6
5.158955,52.8
5.16065,48.93
5.929096,60.96
7.247185,77.23
6.972261,69.92
6.511626,70.07
5.29185,49.32
5.044523,46.41
4.978765,46
5.041024,47.37
6.8044,67.42
5.085486,53.42
5.50275,72.91
5.340742,64.99
5.224772,49.33
5.090024,47.39
5.082443,47.32
5.118619,46.07
5.159135,46.85
5.040624,45.29
5.067774,45.98
6.524262,55.91
